truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Toyota Prius,2019,Fair Price,LE FWD,At or near avg. list price,"$29,695 ","17,768 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2011,Excellent Price,E 350 Cabriolet RWD,$397 off avg. list price,"$12,498 ","117,479 miles",,,"White exterior, Beige interior","No accidents, 4 Owners, Personal use"
Ford Fusion,2019,Great Price,SE FWD,$185 off avg. list price,"$18,545 ","38,974 miles",,,"Gray exterior, Gray interior","2 accidents, 2 Owners, Personal use"
Kia Optima,2016,Fair Price,LX,At or near avg. list price,"$16,998 ","66,931 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz S-Class,2021,Fair Price,S 580 Sedan 4MATIC,At or near avg. list price,"$109,983 ","3,535 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 0 Owners, Personal use"
BMW X5,2013,Excellent Price,xDrive35d AWD,"$1,424 off avg. list price","$12,458 ","121,397 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Santa Fe,2008,Excellent Price,GLS AWD Automatic,$499 off avg. list price,"$7,777 ","91,796 miles",,,"Gray exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Ford Expedition,2020,Great Price,Limited RWD,$274 off avg. list price,"$38,998 ","76,827 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Fleet use"
Toyota Highlander,2021,Great Price,LE FWD,$21 off avg. list price,"$33,388 ","33,706 miles",,,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2019,Excellent Price,Long Range Dual Motor,"$3,628 off avg. list price","$37,999 ","28,085 miles",Dealer Discount Available,,"Gray exterior, Black interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz GLB,2021,Fair Price,GLB 250,At or near avg. list price,"$40,894 ","13,846 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan Altima,2019,Great Price,SR FWD,$321 off avg. list price,"$19,499 ","35,047 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Fleet use"
Land Rover Range Rover Evoque,2018,Great Price,HSE Dynamic 5-Door 286hp,$907 off avg. list price,"$34,890 ","30,066 miles",,,"White exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Audi Q5,2019,Great Price,Premium Plus,$35 off avg. list price,"$34,833 ","17,964 miles",,,"White exterior, Brown interior","No accidents, 1 Owner, Personal use"
Audi A4,2015,Excellent Price,Premium Sedan 2.0T quattro Automatic,$850 off avg. list price,"$16,999 ","68,868 miles",,,"Silver exterior, Unknown interior","1 accident, 2 Owners, Fleet use"
Land Rover Range Rover Sport,2019,Great Price,V6 Supercharged HSE Dynamic,$682 off avg. list price,"$61,998 ","49,098 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus GX,2004,Excellent Price,GX 470,$502 off avg. list price,"$12,995 ","180,250 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Dodge Ram 1500,2008,Excellent Price,SLT Mega Cab Long Bed 4WD,"$1,275 off avg. list price","$10,900 ","182,181 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Fleet use"
GMC Acadia,2015,Great Price,SLE with SLE-1 FWD,$277 off avg. list price,"$17,998 ","81,590 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Land Rover Range Rover Sport,2019,Great Price,Td6 Diesel SE,$917 off avg. list price,"$47,350 ","53,256 miles",,,"Blue exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Fair Price,GLB 250 FWD,At or near avg. list price,"$43,565 ","5,964 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2022,Great Price,Long Range AWD,"$1,143 off avg. list price","$48,000 ","24,062 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Tesla Model 3,2019,Excellent Price,Long Range RWD,"$3,912 off avg. list price","$36,999 ","23,493 miles",Dealer Discount Available,,"Gray exterior, White interior","No accidents, 1 Owner, Personal use"
Nissan Rogue,2018,Fair Price,S FWD,At or near avg. list price,"$17,995 ","59,371 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Explorer,2018,Great Price,XLT FWD,$108 off avg. list price,"$21,599 ","68,868 miles",,,"Gray exterior, Black interior","1 accident, 1 Owner, Fleet use"
Toyota Camry,2019,Great Price,XSE V6 Automatic,$79 off avg. list price,"$30,998 ","36,524 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Volkswagen Passat,2017,Excellent Price,1.8T SE with Technology Auto,$605 off avg. list price,"$15,915 ","78,561 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Fleet use"
Toyota Prius,2015,Great Price,Four,$148 off avg. list price,"$10,599 ","223,736 miles",,,"White exterior, Beige interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz GLC,2019,Fair Price,GLC 350e 4MATIC,At or near avg. list price,"$33,998 ","57,480 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Great Price,GLB 250 4MATIC,$230 off avg. list price,"$45,955 ","5,132 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Mustang,2018,Great Price,EcoBoost Fastback,$320 off avg. list price,"$21,950 ","53,648 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Ford Edge,2012,Great Price,SEL FWD,$95 off avg. list price,"$8,499 ","146,853 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Edge,2019,Great Price,SEL FWD,$214 off avg. list price,"$21,379 ","53,690 miles",,,"Gray exterior, Black interior","1 accident, 1 Owner, Fleet use"
Ford Escape,2015,Excellent Price,Titanium FWD,$631 off avg. list price,"$18,412 ","34,467 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Grand Cherokee,2015,Great Price,Laredo 4WD,$110 off avg. list price,"$21,998 ","59,991 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
BMW M2,2020,Great Price,Competition,"$1,477 off avg. list price","$54,699 ","25,140 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz G-Class,2021,Great Price,G 550 4MATIC,"$1,916 off avg. list price","$167,894 ","12,767 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Jeep Grand Cherokee,2018,Great Price,Upland 4WD,$350 off avg. list price,"$21,899 ","99,974 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2020,Fair Price,GLA 250 FWD,At or near avg. list price,"$29,488 ","41,603 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Fair Price,Value Edition IVT (SULEV),At or near avg. list price,"$21,495 ","12,157 miles",Dealer Discount Available,Certified Pre-Owned,"Red exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLS,2018,Great Price,GLS 450 4MATIC,$474 off avg. list price,"$42,998 ","43,685 miles",,,"Blue exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2018,Great Price,GLE 350 SUV RWD,$741 off avg. list price,"$30,865 ","36,980 miles",,,"Black exterior, Black interior","1 accident, 2 Owners, Personal use"
Chevrolet Corvette,2020,Great Price,Stingray 3LT Coupe,"$2,550 off avg. list price","$84,998 ","12,465 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
MINI Hardtop,2013,Great Price,Hardtop 2-Door,$42 off avg. list price,"$13,998 ","70,550 miles",,,"White exterior, Black interior","1 accident, 4 Owners, Fleet use"
Mercedes-Benz AMG GT,2022,Great Price,AMG GT 43 4-Door Coupe,"$2,527 off avg. list price","$89,890 ","9,995 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Chrysler Town & Country,2014,Great Price,Touring,$175 off avg. list price,"$11,500 ","111,355 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Personal use"
Mazda CX-5,2020,Fair Price,Grand Touring Reserve AWD,At or near avg. list price,"$29,980 ","34,612 miles",,Certified Pre-Owned,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2020,Great Price,SE FWD Automatic,$150 off avg. list price,"$24,998 ","42,805 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda HR-V,2019,Great Price,Sport AWD,$99 off avg. list price,"$22,868 ","50,248 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Fair Price,GLC 300 SUV 4MATIC,At or near avg. list price,"$48,425 ","8,971 miles",,,"Silver exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2022,Great Price,E 350 Sedan RWD,$198 off avg. list price,"$60,400 ","4,277 miles",,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Ford F-150,2006,Great Price,XLT SuperCrew 5.5' Box 2WD,$233 off avg. list price,"$8,500 ","180,000 miles",,,"Silver exterior, Unknown interior","No accidents, 4 Owners, Fleet use"
Honda Odyssey,2019,Fair Price,Elite,At or near avg. list price,"$39,998 ","31,235 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda CR-V,2020,Great Price,EX FWD,$448 off avg. list price,"$26,370 ","25,672 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda CX-9,2019,Great Price,Sport FWD,$154 off avg. list price,"$25,986 ","26,542 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2020,Fair Price,LT Trail Boss Crew Cab Short Bed 4WD,At or near avg. list price,"$46,896 ","39,115 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Personal use"
Ford Mustang Mach-E,2022,Great Price,Select RWD,$906 off avg. list price,"$50,868 ",204 miles,,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2018,Excellent Price,Long Range RWD,"$3,523 off avg. list price","$36,999 ","25,373 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus RX,2020,Fair Price,RX 350 FWD,At or near avg. list price,"$41,998 ","24,813 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2013,Great Price,328i Convertible SULEV,$92 off avg. list price,"$22,998 ","35,495 miles",,,"White exterior, Black interior","2 accidents, 2 Owners, Personal use"
Toyota Highlander,2022,Great Price,LE FWD,$21 off avg. list price,"$38,250 ","6,586 miles",,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Lexus NX,2018,Excellent Price,NX 300 FWD,"$1,076 off avg. list price","$26,499 ","59,443 miles",,,"Silver exterior, Red interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2017,Excellent Price,SE CVT,"$1,534 off avg. list price","$13,999 ","73,721 miles",Dealer Discount Available,,"Red exterior, Gray interior","2 accidents, 1 Owner, Fleet use"
Ford Flex,2019,Excellent Price,SE FWD,$614 off avg. list price,"$19,799 ","63,897 miles",,,"Silver exterior, Black interior","2 accidents, 1 Owner, Personal use"
Volkswagen Atlas,2021,Great Price,3.6L V6 SE with Technology 4MOTION,$895 off avg. list price,"$31,965 ","40,772 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Fleet use"
Ford Edge,2011,Great Price,Limited FWD,$316 off avg. list price,"$13,998 ","109,370 miles",,,"Red exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Toyota Prius,2016,Great Price,Two,$271 off avg. list price,"$16,498 ","126,084 miles",,,"Silver exterior, Black interior","1 accident, 2 Owners, Personal use"
Mazda Mazda6,2018,Fair Price,Signature Automatic,At or near avg. list price,"$27,980 ","21,394 miles",,Certified Pre-Owned,"Gray exterior, Brown interior","No accidents, 1 Owner, Personal use"
Honda Accord,2019,Great Price,Sport 1.5T CVT,$209 off avg. list price,"$25,880 ","35,986 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X3,2020,Fair Price,xDrive30i AWD,At or near avg. list price,"$36,857 ","24,755 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2019,Great Price,GLC 300 4MATIC,$99 off avg. list price,"$32,998 ","40,395 miles",,,"Blue exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mitsubishi Lancer,2014,Excellent Price,ES Sedan FWD CVT,$581 off avg. list price,"$10,297 ","86,975 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Fleet use"
Buick Encore,2015,Excellent Price,Premium FWD,$640 off avg. list price,"$15,998 ","61,720 miles",,,"Red exterior, Black interior","No accidents, 4 Owners, Personal use"
Hyundai Sonata,2020,Fair Price,SEL,At or near avg. list price,"$24,495 ","14,080 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Kia Sportage,2017,Excellent Price,LX AWD,$550 off avg. list price,"$14,111 ","87,117 miles",,,"Red exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mazda Mazda3,2022,Great Price,Premium Sedan Automatic FWD,$88 off avg. list price,"$29,485 ","1,845 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Scion iM,2016,Great Price,Base CVT,$358 off avg. list price,"$17,029 ","57,149 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2019,Excellent Price,Long Range Dual Motor,"$2,978 off avg. list price","$36,999 ","38,922 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Fleet use"
Toyota Highlander,2019,Fair Price,XLE V6 FWD,At or near avg. list price,"$32,868 ","32,445 miles",,Certified Pre-Owned,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Kia Soul,2015,Great Price,Base Automatic,$111 off avg. list price,"$12,950 ","63,649 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Tahoe,2013,Great Price,LT RWD,$251 off avg. list price,"$21,699 ","54,000 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Equus,2013,Excellent Price,Signature,$723 off avg. list price,"$21,500 ","30,629 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Mazda Mazda3,2018,Fair Price,Grand Touring 5-Door Automatic,At or near avg. list price,"$22,458 ","42,656 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Nissan Altima,2020,Great Price,2.5 S FWD,$9 off avg. list price,"$19,999 ","8,405 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Fleet use"
Chevrolet Traverse,2020,Fair Price,Premier AWD,At or near avg. list price,"$39,995 ","48,014 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2015,Excellent Price,SV,$800 off avg. list price,"$12,988 ","52,326 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota RAV4,2021,Great Price,Limited FWD,$525 off avg. list price,"$35,899 ","12,249 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Fair Price,GLC 300 SUV RWD,At or near avg. list price,"$46,900 ","8,918 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Fair Price,GLC 300 SUV RWD,At or near avg. list price,"$46,900 ","8,993 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2020,Fair Price,SV,At or near avg. list price,"$24,989 ","62,004 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW 5 Series,2020,Great Price,530i RWD,$270 off avg. list price,"$29,998 ","64,192 miles",,,"White exterior, Black interior","No accidents, 0 Owners, Personal use"
Tesla Model 3,2021,Fair Price,Long Range Dual Motor AWD,At or near avg. list price,"$52,998 ","9,075 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford F-150,2018,Great Price,Raptor SuperCrew 5.5' Box 4WD,$822 off avg. list price,"$56,064 ","59,120 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Lexus LS,2007,Great Price,LS 460,$216 off avg. list price,"$10,498 ","133,439 miles",,,"Black exterior, Beige interior","1 accident, 1 Owner, Personal use"
Kia Sorento,2017,Excellent Price,LX I4 FWD,$561 off avg. list price,"$14,448 ","107,575 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
