truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Ram 2500,2021,Fair Price,Big Horn Crew Cab 8' Box 4WD,At or near avg. list price,"$52,995 ","41,742 miles",,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2016,Fair Price,328i Sedan RWD (SULEV),$271 above avg. list price,"$18,488 ","84,617 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Lexus RX,2017,High Price,RX 350 FWD,"$1,116 above avg. list price","$35,998 ","39,919 miles",,,"Gold exterior, Unknown interior","No accidents, 2 Owners, Personal use"
MINI Countryman,2012,High Price,S FWD,"$1,358 above avg. list price","$15,998 ","87,370 miles",,,"White exterior, Black interior","No accidents, 7 Owners, Personal use"
Tesla Model Y,2021,Fair Price,Long Range AWD,$551 above avg. list price,"$62,995 ","13,226 miles",,,"White exterior, White interior","No accidents, 1 Owner, Personal use"
Kia Soul EV,2016,High Price,EV,$372 above avg. list price,"$14,550 ","52,903 miles",,,"White exterior, Gray interior","No accidents, 3 Owners, Fleet use"
Toyota Corolla,2004,Great Price,LE Automatic,$67 off avg. list price,"$6,500 ","188,000 miles",,,"Gold exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2017,Fair Price,Three Touring,At or near avg. list price,"$26,942 ","49,002 miles",,,"Unknown exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Nissan 370Z,2019,Fair Price,Base Coupe Automatic,$29 above avg. list price,"$29,988 ","47,558 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota RAV4,2018,High Price,LE FWD,$506 above avg. list price,"$26,990 ","48,191 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 2 Owners, Personal use"
BMW M3,2021,Fair Price,Sedan,$568 above avg. list price,"$78,800 ","12,344 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Jeep Wrangler,2007,Fair Price,Unlimited X 4WD,At or near avg. list price,"$18,988 ","99,228 miles",,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Audi Q3,2017,High Price,Premium FWD,$318 above avg. list price,"$19,879 ","73,041 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Fleet use"
Cadillac XT5,2017,High Price,Luxury FWD,$777 above avg. list price,"$25,458 ","53,458 miles",,,"Silver exterior, Black interior","No accidents, 4 Owners, Personal use"
Scion xB,2014,High Price,Base Automatic,$287 above avg. list price,"$12,950 ","107,462 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda CX-30,2020,Great Price,Premium Package FWD,$56 off avg. list price,"$27,995 ","15,504 miles",,Certified Pre-Owned,"Gray exterior, White interior","No accidents, 1 Owner, Personal use"
Kia K5,2022,Fair Price,LXS FWD,At or near avg. list price,"$27,250 ","4,395 miles",,,"Gray exterior, Beige interior","1 accident, 1 Owner, Personal use"
Toyota Corolla,2017,Fair Price,LE CVT,$148 above avg. list price,"$13,099 ","112,923 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Ford Transit Cargo Van,2020,Fair Price,"T-250 130"" Medium Roof 9070 GVWR RWD",At or near avg. list price,"$41,840 ","57,303 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Fleet use"
